date,unix,open,high,low,close,volume
2023-05-02 12:00:00,1683028800000,1833.09,1840.0,1828.07,1831.95,20425.70526725
2023-05-02 13:00:00,1683032400000,1831.95,1836.58,1824.32,1828.52,25693.28830796
2023-05-02 14:00:00,1683036000000,1828.53,1866.45,1824.46,1851.71,118152.0291916
2023-05-02 15:00:00,1683039600000,1851.71,1868.72,1843.82,1858.7,69780.08865542
2023-05-02 16:00:00,1683043200000,1858.7,1862.76,1853.1,1854.91,19828.6258014
2023-05-02 17:00:00,1683046800000,1854.91,1862.37,1853.19,1860.41,15362.56859799
2023-05-02 18:00:00,1683050400000,1860.41,1876.96,1857.48,1871.02,33023.73182906
2023-05-02 19:00:00,1683054000000,1871.02,1882.24,1867.36,1868.4,35137.38298038
2023-05-02 20:00:00,1683057600000,1868.4,1875.56,1867.8,1869.45,14790.36047787
2023-05-02 21:00:00,1683061200000,1869.45,1873.58,1868.46,1871.32,5554.93694462
2023-05-02 22:00:00,1683064800000,1871.32,1876.7,1871.32,1874.28,15600.43193814
2023-05-02 23:00:00,1683068400000,1874.29,1875.83,1868.47,1870.15,10534.12189305
2023-05-03 00:00:00,1683072000000,1870.15,1871.01,1857.37,1860.09,25076.49745026
2023-05-03 01:00:00,1683075600000,1860.09,1865.45,1859.86,1863.99,11145.79669109
2023-05-03 02:00:00,1683079200000,1863.99,1864.0,1854.26,1861.65,21602.92979748
2023-05-03 03:00:00,1683082800000,1861.65,1864.42,1858.21,1863.0,7988.04752155
2023-05-03 04:00:00,1683086400000,1863.0,1863.12,1857.92,1862.82,9697.41166981
2023-05-03 05:00:00,1683090000000,1862.82,1863.23,1859.48,1860.75,5208.25860237
2023-05-03 06:00:00,1683093600000,1860.74,1869.61,1857.86,1866.05,18738.51212012
2023-05-03 07:00:00,1683097200000,1866.06,1867.53,1863.76,1864.99,7975.48528996
2023-05-03 08:00:00,1683100800000,1864.99,1872.42,1861.07,1868.33,16906.81633438
2023-05-03 09:00:00,1683104400000,1868.33,1869.5,1865.06,1868.74,12634.16571988
2023-05-03 10:00:00,1683108000000,1868.74,1869.48,1864.65,1864.83,12373.69333542
2023-05-03 11:00:00,1683111600000,1864.83,1867.5,1858.37,1859.05,16478.36567481
2023-05-03 12:00:00,1683115200000,1859.05,1862.47,1843.25,1850.07,54204.41601162
2023-05-03 13:00:00,1683118800000,1850.06,1859.09,1842.38,1856.78,44823.92607281
2023-05-03 14:00:00,1683122400000,1856.79,1857.34,1845.41,1848.29,31250.51716211
2023-05-03 15:00:00,1683126000000,1848.17,1854.58,1844.01,1853.2,23034.96784237
2023-05-03 16:00:00,1683129600000,1853.2,1866.94,1851.13,1865.05,29792.99640624
2023-05-03 17:00:00,1683133200000,1865.05,1888.97,1860.53,1875.15,73257.0613396
2023-05-03 18:00:00,1683136800000,1875.16,1896.08,1866.44,1885.78,186951.07539363
2023-05-03 19:00:00,1683140400000,1885.77,1894.24,1867.71,1868.54,62746.65498678
2023-05-03 20:00:00,1683144000000,1868.54,1878.39,1857.72,1873.47,31969.89416279
2023-05-03 21:00:00,1683147600000,1873.47,1903.25,1873.11,1889.41,55100.59909725
2023-05-03 22:00:00,1683151200000,1889.42,1916.98,1889.41,1907.98,72087.32802556
2023-05-03 23:00:00,1683154800000,1907.98,1908.83,1899.19,1905.4,22351.69307169
2023-05-04 00:00:00,1683158400000,1905.5,1905.85,1896.04,1902.28,26974.91986102
2023-05-04 01:00:00,1683162000000,1902.28,1904.26,1897.53,1902.22,11121.78451722
2023-05-04 02:00:00,1683165600000,1902.22,1908.28,1898.5,1902.53,16589.62228945
2023-05-04 03:00:00,1683169200000,1902.52,1905.7,1898.74,1903.84,16278.13288053
2023-05-04 04:00:00,1683172800000,1903.83,1905.83,1900.64,1901.05,11851.46023293
2023-05-04 05:00:00,1683176400000,1901.05,1903.74,1898.0,1902.89,12602.7003575
2023-05-04 06:00:00,1683180000000,1902.89,1904.31,1896.84,1900.72,11263.35428739
2023-05-04 07:00:00,1683183600000,1900.73,1901.32,1896.49,1899.0,11710.90632293
2023-05-04 08:00:00,1683187200000,1899.0,1904.66,1896.52,1901.78,9480.37438353
2023-05-04 09:00:00,1683190800000,1901.78,1903.58,1898.81,1903.58,7846.37425968
2023-05-04 10:00:00,1683194400000,1903.58,1919.07,1902.0,1911.78,33676.31261146
2023-05-04 11:00:00,1683198000000,1911.78,1913.24,1902.77,1904.19,14727.87437643
2023-05-04 12:00:00,1683201600000,1904.19,1908.29,1893.21,1898.28,26370.36287042
2023-05-04 13:00:00,1683205200000,1898.28,1900.35,1877.77,1885.5,59081.36332009
2023-05-04 14:00:00,1683208800000,1885.5,1891.56,1883.7,1885.96,32012.26069217
2023-05-04 15:00:00,1683212400000,1885.95,1893.08,1885.47,1886.08,16931.29051127
2023-05-04 16:00:00,1683216000000,1886.07,1891.34,1879.64,1886.2,22475.22802189
2023-05-04 17:00:00,1683219600000,1886.19,1887.64,1878.31,1882.45,24079.76887098
2023-05-04 18:00:00,1683223200000,1882.45,1883.12,1867.22,1872.77,38788.58675057
2023-05-04 19:00:00,1683226800000,1872.76,1877.76,1866.29,1876.35,19530.56636028
2023-05-04 20:00:00,1683230400000,1876.53,1879.96,1873.35,1877.42,15353.41282016
2023-05-04 21:00:00,1683234000000,1877.42,1879.25,1871.21,1876.99,7381.92960688
2023-05-04 22:00:00,1683237600000,1876.98,1877.25,1869.64,1871.63,14207.00779356
2023-05-04 23:00:00,1683241200000,1871.62,1877.45,1871.14,1877.0,11486.70247091
2023-05-05 00:00:00,1683244800000,1877.01,1882.65,1875.57,1879.47,14308.87151165
2023-05-05 01:00:00,1683248400000,1879.47,1903.0,1877.36,1899.29,43893.52722678
2023-05-05 02:00:00,1683252000000,1899.29,1909.68,1891.56,1898.6,45144.21004297
2023-05-05 03:00:00,1683255600000,1898.6,1902.13,1894.92,1897.03,9893.40866458
2023-05-05 04:00:00,1683259200000,1897.03,1900.71,1896.64,1897.36,6963.41095348
